case_id,activity,timestamp,resource,department,region,role,lifecycle
EMP-0003,Compliance Training Assigned,2025-07-28 17:44,HR_Sarah,Learning & Development,Americas,Customer Support Lead,complete
EMP-0003,Compliance Training Completed,2025-07-31 8:27,L&D_Nina,Learning & Development,Americas,Customer Support Lead,complete
EMP-0003,Team Introduction Meeting,2025-08-01 9:12,Mgr_Chen,Management,Americas,Customer Support Lead,complete
EMP-0003,Buddy Assignment,2025-08-02 9:14,Mgr_Chen,Management,Americas,Customer Support Lead,complete
EMP-0003,System Access Granted,2025-08-04 10:14,IT_Aisha,IT Security,Americas,Customer Support Lead,complete
EMP-0003,First Week Check-in,2025-08-08 8:11,Mgr_Alex,Human Resources,Americas,Customer Support Lead,complete
EMP-0003,30-Day Review,2025-08-29 17:38,Mgr_Beth,Management,Americas,Customer Support Lead,complete
EMP-0003,Onboarding Complete,2025-09-02 9:21,HR_Mike,Human Resources,Americas,Customer Support Lead,complete
EMP-0004,Offer Accepted,2025-12-29 10:00,HR_Priya,Human Resources,Americas,Data Analyst,complete
EMP-0004,Background Check Initiated,2025-12-29 14:20,HR_Priya,Human Resources,Americas,Data Analyst,complete
EMP-0004,Background Check Completed,2026-01-05 8:47,Vendor_BGCheck,External Vendor,Americas,Data Analyst,complete
EMP-0004,IT Account Creation,2026-01-05 15:35,IT_John,IT Department,Americas,Data Analyst,complete
EMP-0004,Equipment Provisioning,2026-01-06 9:14,IT_Aisha,IT Department,Americas,Data Analyst,complete
EMP-0004,Compliance Training Assigned,2026-01-06 11:48,L&D_Nina,Learning & Development,Americas,Data Analyst,complete
EMP-0004,Compliance Training Completed,2026-01-08 8:29,L&D_Nina,Learning & Development,Americas,Data Analyst,complete
EMP-0004,Team Introduction Meeting,2026-01-09 16:56,Mgr_Chen,Management,Americas,Data Analyst,complete
EMP-0004,Buddy Assignment,2026-01-12 8:26,Mgr_Alex,Management,Americas,Data Analyst,complete
EMP-0004,System Access Granted,2026-01-12 9:26,IT_Aisha,IT Security,Americas,Data Analyst,complete
EMP-0004,First Week Check-in,2026-01-19 17:13,HR_Sarah,Human Resources,Americas,Data Analyst,complete
EMP-0004,30-Day Review,2026-02-10 9:25,Mgr_Chen,Management,Americas,Data Analyst,complete
EMP-0004,Onboarding Complete,2026-02-11 8:12,HR_Mike,Human Resources,Americas,Data Analyst,complete
EMP-0005,Offer Accepted,2025-07-17 15:00,HR_Mike,Human Resources,APAC,Supply Chain Analyst,complete
EMP-0005,Background Check Initiated,2025-07-18 9:28,HR_Priya,Human Resources,APAC,Supply Chain Analyst,complete
EMP-0005,Background Check Completed,2025-07-22 10:13,Vendor_Sterling,External Vendor,APAC,Supply Chain Analyst,complete
EMP-0005,IT Account Creation,2025-07-23 9:04,IT_Aisha,IT Department,APAC,Supply Chain Analyst,complete
EMP-0005,Equipment Provisioning,2025-07-24 9:04,IT_John,IT Department,APAC,Supply Chain Analyst,complete
EMP-0005,Compliance Training Assigned,2025-07-24 12:27,L&D_Raj,Learning & Development,APAC,Supply Chain Analyst,complete
EMP-0005,Compliance Training Completed,2025-07-28 17:45,L&D_Raj,Learning & Development,APAC,Supply Chain Analyst,complete
EMP-0005,Team Introduction Meeting,2025-07-30 8:23,Mgr_Dana,Management,APAC,Supply Chain Analyst,complete
EMP-0005,Buddy Assignment,2025-07-30 14:28,Mgr_Dana,Management,APAC,Supply Chain Analyst,complete
EMP-0005,System Access Granted,2025-07-31 9:11,IT_Aisha,IT Security,APAC,Supply Chain Analyst,complete
EMP-0005,First Week Check-in,2025-08-04 8:04,Mgr_Beth,Human Resources,APAC,Supply Chain Analyst,complete
EMP-0005,30-Day Review,2025-08-23 9:02,Mgr_Alex,Management,APAC,Supply Chain Analyst,complete
EMP-0005,Onboarding Complete,2025-08-25 15:32,HR_Sarah,Human Resources,APAC,Supply Chain Analyst,complete
EMP-0006,Offer Accepted,2025-08-11 14:00,HR_Priya,Human Resources,Americas,Product Manager,complete
EMP-0006,Background Check Initiated,2025-08-12 9:02,HR_Mike,Human Resources,Americas,Product Manager,complete
EMP-0006,Background Check Completed,2025-08-15 8:12,Vendor_Sterling,External Vendor,Americas,Product Manager,complete
EMP-0006,IT Account Creation,2025-08-16 9:16,IT_Aisha,IT Department,Americas,Product Manager,complete
EMP-0006,Equipment Provisioning,2025-08-18 13:37,Logistics_Tom,IT Department,Americas,Product Manager,complete
EMP-0006,Equipment Provisioning,2025-08-19 8:27,IT_John,IT Department,Americas,Product Manager,complete
EMP-0006,Compliance Training Assigned,2025-08-19 13:11,L&D_Raj,Learning & Development,Americas,Product Manager,complete
EMP-0006,Compliance Training Completed,2025-08-22 13:47,L&D_Nina,Learning & Development,Americas,Product Manager,complete
EMP-0006,Team Introduction Meeting,2025-08-25 13:30,Mgr_Chen,Management,Americas,Product Manager,complete
EMP-0006,Buddy Assignment,2025-08-26 8:24,Mgr_Chen,Management,Americas,Product Manager,complete
EMP-0006,System Access Granted,2025-08-26 9:24,IT_John,IT Security,Americas,Product Manager,complete
EMP-0006,First Week Check-in,2025-09-01 8:09,Mgr_Beth,Human Resources,Americas,Product Manager,complete
EMP-0006,30-Day Review,2025-09-22 12:20,Mgr_Beth,Management,Americas,Product Manager,complete
EMP-0006,Onboarding Complete,2025-09-23 9:56,HR_Mike,Human Resources,Americas,Product Manager,complete
EMP-0007,Offer Accepted,2025-07-01 10:00,HR_Sarah,Human Resources,Americas,Customer Support Lead,complete
EMP-0007,Background Check Initiated,2025-07-01 14:11,HR_Priya,Human Resources,Americas,Customer Support Lead,complete
EMP-0007,Background Check Completed,2025-07-02 14:28,Vendor_Sterling,External Vendor,Americas,Customer Support Lead,complete
EMP-0007,IT Account Creation,2025-07-03 9:26,IT_Carlos,IT Department,Americas,Customer Support Lead,complete
EMP-0007,Equipment Provisioning,2025-07-04 13:43,Logistics_Tom,IT Department,Americas,Customer Support Lead,complete
EMP-0007,Compliance Training Assigned,2025-07-05 9:19,HR_Sarah,Learning & Development,Americas,Customer Support Lead,complete
EMP-0007,Compliance Training Completed,2025-07-07 8:04,L&D_Raj,Learning & Development,Americas,Customer Support Lead,complete
EMP-0007,Team Introduction Meeting,2025-07-08 8:24,Mgr_Beth,Management,Americas,Customer Support Lead,complete
EMP-0007,Buddy Assignment,2025-07-08 14:23,Mgr_Alex,Management,Americas,Customer Support Lead,complete
EMP-0008,Offer Accepted,2025-12-01 13:00,HR_Mike,Human Resources,EMEA,Finance Associate,complete
EMP-0008,Background Check Initiated,2025-12-02 9:07,HR_Sarah,Human Resources,EMEA,Finance Associate,complete
EMP-0008,Background Check Completed,2025-12-05 17:01,Vendor_BGCheck,External Vendor,EMEA,Finance Associate,complete
EMP-0008,IT Account Creation,2025-12-06 9:28,IT_Carlos,IT Department,EMEA,Finance Associate,complete
EMP-0008,Equipment Provisioning,2025-12-08 15:37,IT_John,IT Department,EMEA,Finance Associate,complete
EMP-0008,Compliance Training Assigned,2025-12-09 9:02,L&D_Raj,Learning & Development,EMEA,Finance Associate,complete
EMP-0008,Compliance Training Completed,2025-12-12 8:15,L&D_Nina,Learning & Development,EMEA,Finance Associate,complete
EMP-0008,Team Introduction Meeting,2025-12-15 8:24,Mgr_Beth,Management,EMEA,Finance Associate,complete
EMP-0008,Buddy Assignment,2025-12-15 15:05,Mgr_Beth,Management,EMEA,Finance Associate,complete
EMP-0008,System Access Granted,2025-12-16 9:21,Security_Eva,IT Security,EMEA,Finance Associate,complete
EMP-0008,First Week Check-in,2025-12-20 9:30,HR_Mike,Human Resources,EMEA,Finance Associate,complete
EMP-0008,30-Day Review,2026-01-13 9:08,HR_Priya,Management,EMEA,Finance Associate,complete
EMP-0008,Onboarding Complete,2026-01-14 11:14,HR_Priya,Human Resources,EMEA,Finance Associate,complete
EMP-0009,Offer Accepted,2025-10-17 14:00,HR_Priya,Human Resources,APAC,Marketing Specialist,complete
EMP-0009,Background Check Initiated,2025-10-18 9:20,HR_Mike,Human Resources,APAC,Marketing Specialist,complete
EMP-0009,Background Check Completed,2025-10-21 8:14,Vendor_Sterling,External Vendor,APAC,Marketing Specialist,complete
EMP-0009,IT Account Creation,2025-10-21 10:35,IT_John,IT Department,APAC,Marketing Specialist,complete
EMP-0009,Equipment Provisioning,2025-10-22 8:07,IT_John,IT Department,APAC,Marketing Specialist,complete
EMP-0009,Equipment Provisioning,2025-10-23 8:02,IT_Aisha,IT Department,APAC,Marketing Specialist,complete
EMP-0009,Compliance Training Assigned,2025-10-23 10:26,HR_Sarah,Learning & Development,APAC,Marketing Specialist,complete
EMP-0009,Compliance Training Completed,2025-10-27 8:18,L&D_Nina,Learning & Development,APAC,Marketing Specialist,complete
EMP-0009,Team Introduction Meeting,2025-10-28 11:32,Mgr_Beth,Management,APAC,Marketing Specialist,complete
EMP-0009,Buddy Assignment,2025-10-29 8:00,Mgr_Alex,Management,APAC,Marketing Specialist,complete
EMP-0009,System Access Granted,2025-10-29 12:20,IT_John,IT Security,APAC,Marketing Specialist,complete
EMP-0009,First Week Check-in,2025-11-04 9:07,HR_Sarah,Human Resources,APAC,Marketing Specialist,complete
EMP-0009,30-Day Review,2025-11-25 8:28,Mgr_Alex,Management,APAC,Marketing Specialist,complete
EMP-0009,Onboarding Complete,2025-11-25 17:07,HR_Mike,Human Resources,APAC,Marketing Specialist,complete
EMP-0010,Offer Accepted,2025-07-21 15:00,HR_Sarah,Human Resources,Americas,Marketing Specialist,complete
EMP-0010,Background Check Initiated,2025-07-22 9:17,HR_Sarah,Human Resources,Americas,Marketing Specialist,complete
EMP-0010,Background Check Completed,2025-07-25 10:44,Vendor_Sterling,External Vendor,Americas,Marketing Specialist,complete
EMP-0010,IT Account Creation,2025-07-28 8:07,IT_Aisha,IT Department,Americas,Marketing Specialist,complete
EMP-0010,Equipment Provisioning,2025-07-29 8:25,IT_Aisha,IT Department,Americas,Marketing Specialist,complete
EMP-0010,Compliance Training Assigned,2025-07-29 13:01,HR_Sarah,Learning & Development,Americas,Marketing Specialist,complete
EMP-0010,Compliance Training Completed,2025-07-31 12:28,L&D_Nina,Learning & Development,Americas,Marketing Specialist,complete
EMP-0010,Team Introduction Meeting,2025-08-01 8:03,Mgr_Dana,Management,Americas,Marketing Specialist,complete
EMP-0010,Buddy Assignment,2025-08-02 9:11,Mgr_Dana,Management,Americas,Marketing Specialist,complete
EMP-0010,System Access Granted,2025-08-04 14:41,Security_Eva,IT Security,Americas,Marketing Specialist,complete
EMP-0010,First Week Check-in,2025-08-11 9:40,Mgr_Beth,Human Resources,Americas,Marketing Specialist,complete
EMP-0010,30-Day Review,2025-09-01 14:01,Mgr_Alex,Management,Americas,Marketing Specialist,complete
EMP-0010,Onboarding Complete,2025-09-03 8:21,HR_Priya,Human Resources,Americas,Marketing Specialist,complete
EMP-0011,Offer Accepted,2025-12-15 13:00,HR_Sarah,Human Resources,APAC,Software Engineer,complete
EMP-0011,Background Check Initiated,2025-12-15 14:11,HR_Sarah,Human Resources,APAC,Software Engineer,complete
EMP-0011,Background Check Completed,2025-12-19 8:06,Vendor_BGCheck,External Vendor,APAC,Software Engineer,complete
EMP-0011,IT Account Creation,2025-12-22 8:17,IT_Aisha,IT Department,APAC,Software Engineer,complete
EMP-0011,Equipment Provisioning,2025-12-23 9:04,IT_Aisha,IT Department,APAC,Software Engineer,complete
EMP-0011,Compliance Training Assigned,2025-12-23 11:56,HR_Sarah,Learning & Development,APAC,Software Engineer,complete
EMP-0011,Compliance Training Completed,2025-12-25 13:32,L&D_Raj,Learning & Development,APAC,Software Engineer,complete
EMP-0011,Team Introduction Meeting,2025-12-26 9:30,Mgr_Dana,Management,APAC,Software Engineer,complete
EMP-0011,Buddy Assignment,2025-12-26 11:18,Mgr_Beth,Management,APAC,Software Engineer,complete
EMP-0011,System Access Granted,2025-12-26 15:26,IT_John,IT Security,APAC,Software Engineer,complete
EMP-0011,First Week Check-in,2025-12-30 13:56,Mgr_Beth,Human Resources,APAC,Software Engineer,complete
EMP-0011,30-Day Review,2026-01-21 12:40,HR_Priya,Management,APAC,Software Engineer,complete
EMP-0011,Onboarding Complete,2026-01-22 8:03,HR_Sarah,Human Resources,APAC,Software Engineer,complete
EMP-0012,Offer Accepted,2025-12-15 11:00,HR_Mike,Human Resources,Americas,Software Engineer,complete
EMP-0012,Background Check Initiated,2025-12-16 9:15,HR_Mike,Human Resources,Americas,Software Engineer,complete
EMP-0012,Background Check Completed,2025-12-18 14:28,Vendor_BGCheck,External Vendor,Americas,Software Engineer,complete
EMP-0012,IT Account Creation,2025-12-19 9:27,IT_Aisha,IT Department,Americas,Software Engineer,complete
EMP-0012,Equipment Provisioning,2025-12-23 9:28,IT_John,IT Department,Americas,Software Engineer,complete
EMP-0012,Compliance Training Assigned,2025-12-23 11:00,HR_Sarah,Learning & Development,Americas,Software Engineer,complete
EMP-0013,Offer Accepted,2025-10-06 15:00,HR_Mike,Human Resources,APAC,UX Designer,complete
EMP-0013,Background Check Initiated,2025-10-07 9:13,HR_Priya,Human Resources,APAC,UX Designer,complete
EMP-0013,Background Check Completed,2025-10-13 16:35,Vendor_Sterling,External Vendor,APAC,UX Designer,complete
EMP-0013,IT Account Creation,2025-10-14 9:04,IT_John,IT Department,APAC,UX Designer,complete
EMP-0013,Equipment Provisioning,2025-10-15 11:17,IT_Aisha,IT Department,APAC,UX Designer,complete
EMP-0013,Compliance Training Assigned,2025-10-15 15:48,HR_Sarah,Learning & Development,APAC,UX Designer,complete
EMP-0013,Compliance Training Completed,2025-10-20 8:30,L&D_Nina,Learning & Development,APAC,UX Designer,complete
EMP-0013,Team Introduction Meeting,2025-10-21 9:18,Mgr_Alex,Management,APAC,UX Designer,complete
EMP-0013,Buddy Assignment,2025-10-21 12:01,Mgr_Chen,Management,APAC,UX Designer,complete
EMP-0013,System Access Granted,2025-10-21 17:04,IT_John,IT Security,APAC,UX Designer,complete
EMP-0013,First Week Check-in,2025-10-27 8:01,Mgr_Beth,Human Resources,APAC,UX Designer,complete
EMP-0013,30-Day Review,2025-11-18 9:16,HR_Priya,Management,APAC,UX Designer,complete
EMP-0013,Onboarding Complete,2025-11-19 12:02,HR_Sarah,Human Resources,APAC,UX Designer,complete
EMP-0014,Offer Accepted,2025-07-15 9:00,HR_Priya,Human Resources,Americas,Data Analyst,complete
EMP-0014,Background Check Initiated,2025-07-15 11:38,HR_Sarah,Human Resources,Americas,Data Analyst,complete
EMP-0014,Background Check Completed,2025-07-18 17:12,Vendor_BGCheck,External Vendor,Americas,Data Analyst,complete
EMP-0014,IT Account Creation,2025-07-21 8:12,IT_John,IT Department,Americas,Data Analyst,complete
EMP-0014,Equipment Provisioning,2025-07-22 9:30,Logistics_Tom,IT Department,Americas,Data Analyst,complete
EMP-0014,Compliance Training Assigned,2025-07-22 17:14,HR_Sarah,Learning & Development,Americas,Data Analyst,complete
EMP-0014,Compliance Training Completed,2025-07-25 8:18,L&D_Nina,Learning & Development,Americas,Data Analyst,complete
EMP-0014,Compliance Training Assigned,2025-07-25 9:55,L&D_Raj,Learning & Development,Americas,Data Analyst,complete
EMP-0014,Compliance Training Completed,2025-07-29 9:02,L&D_Raj,Learning & Development,Americas,Data Analyst,complete
EMP-0014,Team Introduction Meeting,2025-07-30 8:21,Mgr_Chen,Management,Americas,Data Analyst,complete
EMP-0014,Buddy Assignment,2025-07-31 9:29,Mgr_Chen,Management,Americas,Data Analyst,complete
EMP-0014,System Access Granted,2025-07-31 15:48,IT_Aisha,IT Security,Americas,Data Analyst,complete
EMP-0014,First Week Check-in,2025-08-05 9:21,Mgr_Alex,Human Resources,Americas,Data Analyst,complete
EMP-0014,30-Day Review,2025-08-28 8:07,Mgr_Chen,Management,Americas,Data Analyst,complete
EMP-0014,Onboarding Complete,2025-08-29 11:25,HR_Mike,Human Resources,Americas,Data Analyst,complete
EMP-0015,Offer Accepted,2025-08-04 9:00,HR_Sarah,Human Resources,Americas,Customer Support Lead,complete
EMP-0015,Background Check Initiated,2025-08-04 14:38,HR_Mike,Human Resources,Americas,Customer Support Lead,complete
EMP-0015,Background Check Completed,2025-08-11 12:10,Vendor_BGCheck,External Vendor,Americas,Customer Support Lead,complete
EMP-0015,IT Account Creation,2025-08-12 9:02,IT_Carlos,IT Department,Americas,Customer Support Lead,complete
EMP-0015,Equipment Provisioning,2025-08-13 9:06,Logistics_Tom,IT Department,Americas,Customer Support Lead,complete
EMP-0015,Compliance Training Assigned,2025-08-13 11:19,L&D_Nina,Learning & Development,Americas,Customer Support Lead,complete
EMP-0015,Compliance Training Completed,2025-08-15 9:04,L&D_Raj,Learning & Development,Americas,Customer Support Lead,complete
EMP-0015,Team Introduction Meeting,2025-08-18 8:27,Mgr_Alex,Management,Americas,Customer Support Lead,complete
EMP-0015,Buddy Assignment,2025-08-18 17:49,Mgr_Beth,Management,Americas,Customer Support Lead,complete
EMP-0015,System Access Granted,2025-08-19 9:11,IT_Carlos,IT Security,Americas,Customer Support Lead,complete
EMP-0015,First Week Check-in,2025-08-25 8:05,Mgr_Beth,Human Resources,Americas,Customer Support Lead,complete
EMP-0015,30-Day Review,2025-09-15 8:43,HR_Priya,Management,Americas,Customer Support Lead,complete
EMP-0015,Onboarding Complete,2025-09-17 9:22,HR_Mike,Human Resources,Americas,Customer Support Lead,complete
EMP-0016,Offer Accepted,2025-12-04 16:00,HR_Mike,Human Resources,Americas,Software Engineer,complete
EMP-0016,Background Check Initiated,2025-12-05 9:29,HR_Priya,Human Resources,Americas,Software Engineer,complete
EMP-0016,Background Check Completed,2025-12-18 9:03,Vendor_BGCheck,External Vendor,Americas,Software Engineer,complete
EMP-0016,IT Account Creation,2025-12-19 9:08,IT_John,IT Department,Americas,Software Engineer,complete
EMP-0016,Equipment Provisioning,2025-12-20 9:28,IT_John,IT Department,Americas,Software Engineer,complete
EMP-0016,Compliance Training Assigned,2025-12-22 11:19,L&D_Raj,Learning & Development,Americas,Software Engineer,complete
EMP-0016,Compliance Training Completed,2025-12-25 9:17,L&D_Nina,Learning & Development,Americas,Software Engineer,complete
EMP-0016,Team Introduction Meeting,2025-12-26 8:08,Mgr_Chen,Management,Americas,Software Engineer,complete
EMP-0016,Buddy Assignment,2025-12-27 9:19,Mgr_Beth,Management,Americas,Software Engineer,complete
EMP-0016,System Access Granted,2025-12-29 14:15,IT_Carlos,IT Security,Americas,Software Engineer,complete
EMP-0016,First Week Check-in,2026-01-05 12:31,HR_Mike,Human Resources,Americas,Software Engineer,complete
EMP-0016,30-Day Review,2026-01-27 9:21,Mgr_Chen,Management,Americas,Software Engineer,complete
EMP-0016,Onboarding Complete,2026-01-28 9:16,HR_Mike,Human Resources,Americas,Software Engineer,complete
EMP-0017,Offer Accepted,2025-09-03 12:00,HR_Sarah,Human Resources,APAC,Data Analyst,complete
EMP-0017,Background Check Initiated,2025-09-03 15:06,HR_Sarah,Human Resources,APAC,Data Analyst,complete
EMP-0017,Background Check Completed,2025-09-12 8:12,Vendor_Sterling,External Vendor,APAC,Data Analyst,complete
EMP-0017,IT Account Creation,2025-09-12 17:04,IT_John,IT Department,APAC,Data Analyst,complete
EMP-0017,Equipment Provisioning,2025-09-15 8:20,IT_Aisha,IT Department,APAC,Data Analyst,complete
EMP-0017,Compliance Training Assigned,2025-09-15 12:41,HR_Sarah,Learning & Development,APAC,Data Analyst,complete
EMP-0017,Compliance Training Completed,2025-09-18 9:23,L&D_Raj,Learning & Development,APAC,Data Analyst,complete
EMP-0017,Team Introduction Meeting,2025-09-19 8:17,Mgr_Dana,Management,APAC,Data Analyst,complete
EMP-0017,Buddy Assignment,2025-09-19 16:54,Mgr_Alex,Management,APAC,Data Analyst,complete
EMP-0017,System Access Granted,2025-09-20 9:03,IT_John,IT Security,APAC,Data Analyst,complete
EMP-0017,First Week Check-in,2025-09-24 8:30,HR_Mike,Human Resources,APAC,Data Analyst,complete
EMP-0017,30-Day Review,2025-10-16 8:17,Mgr_Alex,Management,APAC,Data Analyst,complete
EMP-0017,Onboarding Complete,2025-10-17 12:46,HR_Mike,Human Resources,APAC,Data Analyst,complete
EMP-0018,Offer Accepted,2025-11-27 8:00,HR_Mike,Human Resources,Americas,Product Manager,complete
EMP-0018,Background Check Initiated,2025-11-27 14:09,HR_Mike,Human Resources,Americas,Product Manager,complete
EMP-0018,Background Check Completed,2025-12-01 15:27,Vendor_BGCheck,External Vendor,Americas,Product Manager,complete
EMP-0018,IT Account Creation,2025-12-01 17:56,IT_Aisha,IT Department,Americas,Product Manager,complete
EMP-0018,Equipment Provisioning,2025-12-02 8:06,Logistics_Tom,IT Department,Americas,Product Manager,complete
EMP-0018,Compliance Training Assigned,2025-12-02 13:08,HR_Sarah,Learning & Development,Americas,Product Manager,complete
EMP-0018,Compliance Training Completed,2025-12-05 9:21,L&D_Nina,Learning & Development,Americas,Product Manager,complete
EMP-0018,Team Introduction Meeting,2025-12-08 13:28,Mgr_Chen,Management,Americas,Product Manager,complete
EMP-0018,Buddy Assignment,2025-12-09 12:53,Mgr_Dana,Management,Americas,Product Manager,complete
EMP-0018,System Access Granted,2025-12-10 9:19,IT_Aisha,IT Security,Americas,Product Manager,complete
EMP-0018,First Week Check-in,2025-12-16 12:35,HR_Mike,Human Resources,Americas,Product Manager,complete
EMP-0018,30-Day Review,2026-01-08 10:22,Mgr_Beth,Management,Americas,Product Manager,complete
EMP-0018,Onboarding Complete,2026-01-09 15:35,HR_Sarah,Human Resources,Americas,Product Manager,complete
EMP-0019,Offer Accepted,2025-10-14 13:00,HR_Mike,Human Resources,APAC,Product Manager,complete
EMP-0019,Background Check Initiated,2025-10-14 16:22,HR_Priya,Human Resources,APAC,Product Manager,complete
EMP-0019,Background Check Completed,2025-10-20 10:35,Vendor_BGCheck,External Vendor,APAC,Product Manager,complete
EMP-0019,IT Account Creation,2025-10-20 15:29,IT_Aisha,IT Department,APAC,Product Manager,complete
EMP-0019,Equipment Provisioning,2025-10-21 12:39,IT_John,IT Department,APAC,Product Manager,complete
EMP-0019,Equipment Provisioning,2025-10-22 8:25,Logistics_Tom,IT Department,APAC,Product Manager,complete
EMP-0019,Compliance Training Assigned,2025-10-22 12:35,HR_Sarah,Learning & Development,APAC,Product Manager,complete
EMP-0019,Compliance Training Completed,2025-10-27 8:12,L&D_Nina,Learning & Development,APAC,Product Manager,complete
EMP-0019,Team Introduction Meeting,2025-10-27 17:16,Mgr_Dana,Management,APAC,Product Manager,complete
EMP-0019,Buddy Assignment,2025-10-28 8:07,Mgr_Beth,Management,APAC,Product Manager,complete
EMP-0019,System Access Granted,2025-10-28 9:07,Security_Eva,IT Security,APAC,Product Manager,complete
EMP-0019,First Week Check-in,2025-11-04 9:11,Mgr_Alex,Human Resources,APAC,Product Manager,complete
EMP-0019,30-Day Review,2025-11-27 13:27,Mgr_Beth,Management,APAC,Product Manager,complete
EMP-0019,Onboarding Complete,2025-11-28 13:58,HR_Sarah,Human Resources,APAC,Product Manager,complete
EMP-0020,Offer Accepted,2025-07-07 12:00,HR_Sarah,Human Resources,Americas,Marketing Specialist,complete
EMP-0020,Background Check Initiated,2025-07-07 13:50,HR_Mike,Human Resources,Americas,Marketing Specialist,complete
EMP-0020,Background Check Completed,2025-07-10 9:11,Vendor_Sterling,External Vendor,Americas,Marketing Specialist,complete
EMP-0020,IT Account Creation,2025-07-11 9:21,IT_Carlos,IT Department,Americas,Marketing Specialist,complete
EMP-0020,Equipment Provisioning,2025-07-14 8:10,IT_John,IT Department,Americas,Marketing Specialist,complete
EMP-0020,Compliance Training Assigned,2025-07-14 12:36,HR_Sarah,Learning & Development,Americas,Marketing Specialist,complete
EMP-0020,Compliance Training Completed,2025-07-16 13:20,L&D_Raj,Learning & Development,Americas,Marketing Specialist,complete
